sample_id,label,label_name,tsne_x,tsne_y,pca_x,pca_y
88,3,Product,5.121784210205078,3.211313247680664,-1.9865977058820024,-2.0750981369045474
89,3,Product,5.101937770843506,3.214456081390381,-1.730809520775069,-2.0523571498954496
90,3,Product,3.392286777496338,8.712614059448242,1.2370684831897114,-1.629943662602898
91,3,Product,1.5447555780410767,4.026952266693115,-1.1018571907876689,-3.031661571323689
92,3,Product,2.9099411964416504,3.0306878089904785,-0.7036982926344254,-3.406048305902681
93,3,Product,5.014667510986328,6.172623157501221,-0.748218930528998,-3.098989414614444
94,3,Product,4.717349052429199,4.546407222747803,-1.008614156661541,-3.1977626338055205
95,3,Product,-0.6597065329551697,5.258208751678467,0.006776251486594727,-3.0031260201031684
96,3,Product,0.4605761766433716,6.763847351074219,0.22551903450680677,-2.649219822328599
97,3,Product,5.017932891845703,6.174927234649658,-0.7644324966198904,-3.1160053562665437
98,3,Product,-0.664070725440979,5.260124683380127,0.08948795072993235,-2.978517413581374
99,3,Product,1.531315565109253,4.069042682647705,-0.9892676403190486,-2.830243923943392
